winner,winner_score,loser,loser_score
blitz,73,RdeepBot,6
blitz,73,RdeepBot,28
blitz,71,RdeepBot,65
RdeepBot,81,blitz,14
RdeepBot,68,blitz,0
RdeepBot,67,blitz,25
RdeepBot,71,blitz,34
RdeepBot,74,blitz,13
RdeepBot,69,blitz,0
RdeepBot,70,blitz,57
RdeepBot,66,blitz,12
RdeepBot,66,blitz,40
blitz,61,RdeepBot,59
RdeepBot,69,blitz,25
RdeepBot,66,blitz,15
RdeepBot,92,blitz,15
RdeepBot,69,blitz,0
blitz,78,RdeepBot,62
RdeepBot,66,blitz,15
blitz,74,RdeepBot,34
RdeepBot,67,blitz,0
RdeepBot,61,blitz,59
RdeepBot,74,blitz,0
RdeepBot,71,blitz,13
RdeepBot,107,blitz,15
blitz,75,RdeepBot,27
RdeepBot,70,blitz,14
RdeepBot,68,blitz,0
RdeepBot,67,blitz,19
RdeepBot,69,blitz,15
RdeepBot,95,blitz,0
RdeepBot,77,blitz,0
blitz,93,RdeepBot,27
RdeepBot,69,blitz,24
RdeepBot,74,blitz,9
RdeepBot,68,blitz,0
RdeepBot,67,blitz,18
RdeepBot,69,blitz,38
RdeepBot,72,blitz,0
RdeepBot,75,blitz,45
RdeepBot,72,blitz,0
RdeepBot,73,blitz,15
RdeepBot,80,blitz,27
blitz,71,RdeepBot,14
RdeepBot,67,blitz,0
RdeepBot,67,blitz,0
RdeepBot,74,blitz,45
blitz,61,RdeepBot,59
blitz,66,RdeepBot,62
RdeepBot,67,blitz,26
